rundate,this_period,last_period,grp_cd,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIRMINGHAM,BRISTOL,318,318,0,0,0,0,0
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIRMINGHAM,CITY OF DERRY (EGLINTON),19350,19350,0,323,0,323,5890.71207
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIRMINGHAM,EAST MIDLANDS INTERNATIONAL,118,118,0,0,0,0,0
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIRMINGHAM,EDINBURGH,273132,273132,0,214327,213961,366,27.43705
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIRMINGHAM,EXETER,132,132,0,32,32,0,312.5
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIRMINGHAM,GLASGOW,163243,163243,0,163724,163724,0,-0.29379
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIRMINGHAM,GUERNSEY,33262,33212,50,32079,32079,0,3.68777
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIRMINGHAM,INVERNESS,697,697,0,17715,17715,0,-96.06548
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIRMINGHAM,ISLE OF MAN,18286,18286,0,20077,20077,0,-8.92066
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIRMINGHAM,JERSEY,37684,37684,0,32998,32998,0,14.20086
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIRMINGHAM,LIVERPOOL (JOHN LENNON),0,0,0,87,87,0,-100
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIRMINGHAM,MANCHESTER,186,186,0,268,268,0,-30.59701
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIRMINGHAM,NEWCASTLE,0,0,0,448,274,174,-100
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIRMINGHAM,SOUTHAMPTON,0,0,0,36,0,36,-100
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIRMINGHAM,TEESSIDE INTERNATIONAL AIRPORT,95,0,95,0,0,0,0
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BLACKPOOL,BOURNEMOUTH,0,0,0,46,0,46,-100
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BLACKPOOL,CARDIFF WALES,29,0,29,91,0,91,-68.13187
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BLACKPOOL,EXETER,75,0,75,0,0,0,0
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BLACKPOOL,NORWICH,151,81,70,0,0,0,0
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BOURNEMOUTH,BRISTOL,185,185,0,0,0,0,0
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BOURNEMOUTH,CARDIFF WALES,0,0,0,47,0,47,-100
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BOURNEMOUTH,EAST MIDLANDS INTERNATIONAL,166,0,166,343,0,343,-51.6035
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BOURNEMOUTH,EDINBURGH,50777,50777,0,48192,48192,0,5.36396
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BOURNEMOUTH,EXETER,144,144,0,0,0,0,0
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BOURNEMOUTH,JERSEY,158,158,0,0,0,0,0
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BOURNEMOUTH,LEEDS BRADFORD,0,0,0,101,0,101,-100
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BOURNEMOUTH,LIVERPOOL (JOHN LENNON),193,0,193,267,0,267,-27.71536
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BOURNEMOUTH,MANCHESTER,355,52,303,340,0,340,4.41176
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BOURNEMOUTH,NEWCASTLE,141,0,141,0,0,0,0
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BRISTOL,CARDIFF WALES,713,713,0,538,538,0,32.52788
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BRISTOL,EAST MIDLANDS INTERNATIONAL,135,135,0,18,18,0,650
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BRISTOL,EDINBURGH,451404,451404,0,422825,422825,0,6.75906
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BRISTOL,EXETER,1758,1758,0,822,822,0,113.86861
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BRISTOL,GLASGOW,292113,292113,0,295945,295903,42,-1.29484
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BRISTOL,GUERNSEY,25818,25818,0,25750,25750,0,0.26408
